gene_ctype,gene_name,cell_type,c_type_num,gene_num
FOXD4_CD16+ NK cells,FOXD4,CD16+ NK cells,18,190
FOXD4_CD16- NK cells,FOXD4,CD16- NK cells,17,190
FOXD4_Classical monocytes,FOXD4,Classical monocytes,5,190
FOXD4_DC2,FOXD4,DC2,7,190
FOXD4_MAIT cells,FOXD4,MAIT cells,15,190
FOXD4_Memory B cells,FOXD4,Memory B cells,1,190
FOXD4_NK cells,FOXD4,NK cells,16,190
FOXD4_Naive B cells,FOXD4,Naive B cells,0,190
FOXD4_Non-classical monocytes,FOXD4,Non-classical monocytes,6,190
FOXD4_Plasma cells,FOXD4,Plasma cells,4,190
FOXD4_Plasmablasts,FOXD4,Plasmablasts,3,190
FOXD4_Regulatory T cells,FOXD4,Regulatory T cells,11,190
FOXD4_Tcm/Naive cytotoxic T cells,FOXD4,Tcm/Naive cytotoxic T cells,13,190
FOXD4_Tcm/Naive helper T cells,FOXD4,Tcm/Naive helper T cells,9,190
FOXD4_Tem/Effector helper T cells,FOXD4,Tem/Effector helper T cells,10,190
FOXD4_Tem/Temra cytotoxic T cells,FOXD4,Tem/Temra cytotoxic T cells,12,190
FOXD4_Tem/Trm cytotoxic T cells,FOXD4,Tem/Trm cytotoxic T cells,14,190
FOXD4_pDC,FOXD4,pDC,8,190
FTHL17_Age-associated B cells,FTHL17,Age-associated B cells,2,6
FTHL17_CD16+ NK cells,FTHL17,CD16+ NK cells,18,6
FTHL17_CD16- NK cells,FTHL17,CD16- NK cells,17,6
FTHL17_Classical monocytes,FTHL17,Classical monocytes,5,6
FTHL17_DC2,FTHL17,DC2,7,6
FTHL17_MAIT cells,FTHL17,MAIT cells,15,6
FTHL17_Memory B cells,FTHL17,Memory B cells,1,6
FTHL17_NK cells,FTHL17,NK cells,16,6
FTHL17_Naive B cells,FTHL17,Naive B cells,0,6
FTHL17_Non-classical monocytes,FTHL17,Non-classical monocytes,6,6
FTHL17_Plasma cells,FTHL17,Plasma cells,4,6
FTHL17_Plasmablasts,FTHL17,Plasmablasts,3,6
FTHL17_Regulatory T cells,FTHL17,Regulatory T cells,11,6
FTHL17_Tcm/Naive cytotoxic T cells,FTHL17,Tcm/Naive cytotoxic T cells,13,6
FTHL17_Tcm/Naive helper T cells,FTHL17,Tcm/Naive helper T cells,9,6
FTHL17_Tem/Effector helper T cells,FTHL17,Tem/Effector helper T cells,10,6
FTHL17_Tem/Temra cytotoxic T cells,FTHL17,Tem/Temra cytotoxic T cells,12,6
FTHL17_Tem/Trm cytotoxic T cells,FTHL17,Tem/Trm cytotoxic T cells,14,6
FTHL17_pDC,FTHL17,pDC,8,6
GCNT3_Age-associated B cells,GCNT3,Age-associated B cells,2,97
GCNT3_CD16+ NK cells,GCNT3,CD16+ NK cells,18,97
GCNT3_CD16- NK cells,GCNT3,CD16- NK cells,17,97
GCNT3_Classical monocytes,GCNT3,Classical monocytes,5,97
GCNT3_DC2,GCNT3,DC2,7,97
GCNT3_MAIT cells,GCNT3,MAIT cells,15,97
GCNT3_Memory B cells,GCNT3,Memory B cells,1,97
GCNT3_NK cells,GCNT3,NK cells,16,97
GCNT3_Naive B cells,GCNT3,Naive B cells,0,97
GCNT3_Non-classical monocytes,GCNT3,Non-classical monocytes,6,97
GCNT3_Plasma cells,GCNT3,Plasma cells,4,97
GCNT3_Plasmablasts,GCNT3,Plasmablasts,3,97
GCNT3_Regulatory T cells,GCNT3,Regulatory T cells,11,97
GCNT3_Tcm/Naive cytotoxic T cells,GCNT3,Tcm/Naive cytotoxic T cells,13,97
GCNT3_Tcm/Naive helper T cells,GCNT3,Tcm/Naive helper T cells,9,97
GCNT3_Tem/Effector helper T cells,GCNT3,Tem/Effector helper T cells,10,97
GCNT3_Tem/Temra cytotoxic T cells,GCNT3,Tem/Temra cytotoxic T cells,12,97
GCNT3_Tem/Trm cytotoxic T cells,GCNT3,Tem/Trm cytotoxic T cells,14,97
GCNT3_pDC,GCNT3,pDC,8,97
GDE1_Age-associated B cells,GDE1,Age-associated B cells,2,87
GDE1_CD16+ NK cells,GDE1,CD16+ NK cells,18,87
GDE1_CD16- NK cells,GDE1,CD16- NK cells,17,87
GDE1_Classical monocytes,GDE1,Classical monocytes,5,87
GDE1_DC2,GDE1,DC2,7,87
GDE1_MAIT cells,GDE1,MAIT cells,15,87
GDE1_Memory B cells,GDE1,Memory B cells,1,87
GDE1_NK cells,GDE1,NK cells,16,87
GDE1_Naive B cells,GDE1,Naive B cells,0,87
GDE1_Non-classical monocytes,GDE1,Non-classical monocytes,6,87
GDE1_Plasma cells,GDE1,Plasma cells,4,87
GDE1_Plasmablasts,GDE1,Plasmablasts,3,87
GDE1_Regulatory T cells,GDE1,Regulatory T cells,11,87
GDE1_Tcm/Naive cytotoxic T cells,GDE1,Tcm/Naive cytotoxic T cells,13,87
GDE1_Tcm/Naive helper T cells,GDE1,Tcm/Naive helper T cells,9,87
GDE1_Tem/Effector helper T cells,GDE1,Tem/Effector helper T cells,10,87
GDE1_Tem/Temra cytotoxic T cells,GDE1,Tem/Temra cytotoxic T cells,12,87
GDE1_Tem/Trm cytotoxic T cells,GDE1,Tem/Trm cytotoxic T cells,14,87
GDE1_pDC,GDE1,pDC,8,87
GET3_Age-associated B cells,GET3,Age-associated B cells,2,84
GET3_CD16+ NK cells,GET3,CD16+ NK cells,18,84
GET3_CD16- NK cells,GET3,CD16- NK cells,17,84
GET3_Classical monocytes,GET3,Classical monocytes,5,84
GET3_DC2,GET3,DC2,7,84
GET3_MAIT cells,GET3,MAIT cells,15,84
GET3_Memory B cells,GET3,Memory B cells,1,84
GET3_NK cells,GET3,NK cells,16,84
GET3_Naive B cells,GET3,Naive B cells,0,84
GET3_Non-classical monocytes,GET3,Non-classical monocytes,6,84
GET3_Plasma cells,GET3,Plasma cells,4,84
GET3_Plasmablasts,GET3,Plasmablasts,3,84
GET3_Regulatory T cells,GET3,Regulatory T cells,11,84
GET3_Tcm/Naive cytotoxic T cells,GET3,Tcm/Naive cytotoxic T cells,13,84
GET3_Tcm/Naive helper T cells,GET3,Tcm/Naive helper T cells,9,84
GET3_Tem/Effector helper T cells,GET3,Tem/Effector helper T cells,10,84
GET3_Tem/Temra cytotoxic T cells,GET3,Tem/Temra cytotoxic T cells,12,84
GET3_Tem/Trm cytotoxic T cells,GET3,Tem/Trm cytotoxic T cells,14,84
GET3_pDC,GET3,pDC,8,84
GET4_Age-associated B cells,GET4,Age-associated B cells,2,46
GET4_CD16+ NK cells,GET4,CD16+ NK cells,18,46
GET4_CD16- NK cells,GET4,CD16- NK cells,17,46
GET4_Classical monocytes,GET4,Classical monocytes,5,46
GET4_DC2,GET4,DC2,7,46
GET4_MAIT cells,GET4,MAIT cells,15,46
GET4_Memory B cells,GET4,Memory B cells,1,46
GET4_NK cells,GET4,NK cells,16,46
GET4_Naive B cells,GET4,Naive B cells,0,46
GET4_Non-classical monocytes,GET4,Non-classical monocytes,6,46
GET4_Plasma cells,GET4,Plasma cells,4,46
GET4_Plasmablasts,GET4,Plasmablasts,3,46
GET4_Regulatory T cells,GET4,Regulatory T cells,11,46
GET4_Tcm/Naive cytotoxic T cells,GET4,Tcm/Naive cytotoxic T cells,13,46
GET4_Tcm/Naive helper T cells,GET4,Tcm/Naive helper T cells,9,46
GET4_Tem/Effector helper T cells,GET4,Tem/Effector helper T cells,10,46
GET4_Tem/Temra cytotoxic T cells,GET4,Tem/Temra cytotoxic T cells,12,46
GET4_Tem/Trm cytotoxic T cells,GET4,Tem/Trm cytotoxic T cells,14,46
GET4_pDC,GET4,pDC,8,46
GFPT1_Age-associated B cells,GFPT1,Age-associated B cells,2,155
GFPT1_CD16+ NK cells,GFPT1,CD16+ NK cells,18,155
GFPT1_CD16- NK cells,GFPT1,CD16- NK cells,17,155
GFPT1_Classical monocytes,GFPT1,Classical monocytes,5,155
GFPT1_DC2,GFPT1,DC2,7,155
GFPT1_MAIT cells,GFPT1,MAIT cells,15,155
GFPT1_Memory B cells,GFPT1,Memory B cells,1,155
GFPT1_NK cells,GFPT1,NK cells,16,155
GFPT1_Naive B cells,GFPT1,Naive B cells,0,155
GFPT1_Non-classical monocytes,GFPT1,Non-classical monocytes,6,155
GFPT1_Plasma cells,GFPT1,Plasma cells,4,155
GFPT1_Plasmablasts,GFPT1,Plasmablasts,3,155
GFPT1_Regulatory T cells,GFPT1,Regulatory T cells,11,155
GFPT1_Tcm/Naive cytotoxic T cells,GFPT1,Tcm/Naive cytotoxic T cells,13,155
GFPT1_Tcm/Naive helper T cells,GFPT1,Tcm/Naive helper T cells,9,155
GFPT1_Tem/Effector helper T cells,GFPT1,Tem/Effector helper T cells,10,155
GFPT1_Tem/Temra cytotoxic T cells,GFPT1,Tem/Temra cytotoxic T cells,12,155
GFPT1_Tem/Trm cytotoxic T cells,GFPT1,Tem/Trm cytotoxic T cells,14,155
GFPT1_pDC,GFPT1,pDC,8,155
GFPT2_Age-associated B cells,GFPT2,Age-associated B cells,2,194
GFPT2_CD16+ NK cells,GFPT2,CD16+ NK cells,18,194
GFPT2_CD16- NK cells,GFPT2,CD16- NK cells,17,194
GFPT2_Classical monocytes,GFPT2,Classical monocytes,5,194
GFPT2_DC2,GFPT2,DC2,7,194
GFPT2_MAIT cells,GFPT2,MAIT cells,15,194
GFPT2_Memory B cells,GFPT2,Memory B cells,1,194
GFPT2_NK cells,GFPT2,NK cells,16,194
GFPT2_Naive B cells,GFPT2,Naive B cells,0,194
GFPT2_Non-classical monocytes,GFPT2,Non-classical monocytes,6,194
GFPT2_Plasma cells,GFPT2,Plasma cells,4,194
GFPT2_Plasmablasts,GFPT2,Plasmablasts,3,194
GFPT2_Regulatory T cells,GFPT2,Regulatory T cells,11,194
GFPT2_Tcm/Naive cytotoxic T cells,GFPT2,Tcm/Naive cytotoxic T cells,13,194
GFPT2_Tcm/Naive helper T cells,GFPT2,Tcm/Naive helper T cells,9,194
GFPT2_Tem/Effector helper T cells,GFPT2,Tem/Effector helper T cells,10,194
GFPT2_Tem/Temra cytotoxic T cells,GFPT2,Tem/Temra cytotoxic T cells,12,194
GFPT2_Tem/Trm cytotoxic T cells,GFPT2,Tem/Trm cytotoxic T cells,14,194
GFPT2_pDC,GFPT2,pDC,8,194
GFRA2_Age-associated B cells,GFRA2,Age-associated B cells,2,135
GFRA2_CD16+ NK cells,GFRA2,CD16+ NK cells,18,135
GFRA2_CD16- NK cells,GFRA2,CD16- NK cells,17,135
GFRA2_Classical monocytes,GFRA2,Classical monocytes,5,135
GFRA2_DC2,GFRA2,DC2,7,135
GFRA2_MAIT cells,GFRA2,MAIT cells,15,135
GFRA2_Memory B cells,GFRA2,Memory B cells,1,135
GFRA2_NK cells,GFRA2,NK cells,16,135
GFRA2_Naive B cells,GFRA2,Naive B cells,0,135
GFRA2_Non-classical monocytes,GFRA2,Non-classical monocytes,6,135
GFRA2_Plasma cells,GFRA2,Plasma cells,4,135
GFRA2_Plasmablasts,GFRA2,Plasmablasts,3,135
GFRA2_Regulatory T cells,GFRA2,Regulatory T cells,11,135
GFRA2_Tcm/Naive cytotoxic T cells,GFRA2,Tcm/Naive cytotoxic T cells,13,135
GFRA2_Tcm/Naive helper T cells,GFRA2,Tcm/Naive helper T cells,9,135
GFRA2_Tem/Effector helper T cells,GFRA2,Tem/Effector helper T cells,10,135
GFRA2_Tem/Temra cytotoxic T cells,GFRA2,Tem/Temra cytotoxic T cells,12,135
GFRA2_Tem/Trm cytotoxic T cells,GFRA2,Tem/Trm cytotoxic T cells,14,135
GFRA2_pDC,GFRA2,pDC,8,135
GGT1_Age-associated B cells,GGT1,Age-associated B cells,2,196
GGT1_CD16+ NK cells,GGT1,CD16+ NK cells,18,196
GGT1_CD16- NK cells,GGT1,CD16- NK cells,17,196
GGT1_Classical monocytes,GGT1,Classical monocytes,5,196
GGT1_DC2,GGT1,DC2,7,196
GGT1_MAIT cells,GGT1,MAIT cells,15,196
GGT1_Memory B cells,GGT1,Memory B cells,1,196
GGT1_NK cells,GGT1,NK cells,16,196
GGT1_Naive B cells,GGT1,Naive B cells,0,196
GGT1_Non-classical monocytes,GGT1,Non-classical monocytes,6,196
GGT1_Plasma cells,GGT1,Plasma cells,4,196
GGT1_Plasmablasts,GGT1,Plasmablasts,3,196
GGT1_Regulatory T cells,GGT1,Regulatory T cells,11,196
GGT1_Tcm/Naive cytotoxic T cells,GGT1,Tcm/Naive cytotoxic T cells,13,196
GGT1_Tcm/Naive helper T cells,GGT1,Tcm/Naive helper T cells,9,196
GGT1_Tem/Effector helper T cells,GGT1,Tem/Effector helper T cells,10,196
GGT1_Tem/Temra cytotoxic T cells,GGT1,Tem/Temra cytotoxic T cells,12,196
GGT1_Tem/Trm cytotoxic T cells,GGT1,Tem/Trm cytotoxic T cells,14,196
GGT1_pDC,GGT1,pDC,8,196
GH2_Age-associated B cells,GH2,Age-associated B cells,2,162
GH2_CD16+ NK cells,GH2,CD16+ NK cells,18,162
GH2_CD16- NK cells,GH2,CD16- NK cells,17,162
GH2_Classical monocytes,GH2,Classical monocytes,5,162
GH2_DC2,GH2,DC2,7,162
GH2_MAIT cells,GH2,MAIT cells,15,162
GH2_Memory B cells,GH2,Memory B cells,1,162
GH2_NK cells,GH2,NK cells,16,162
GH2_Naive B cells,GH2,Naive B cells,0,162
GH2_Non-classical monocytes,GH2,Non-classical monocytes,6,162
GH2_Plasma cells,GH2,Plasma cells,4,162
GH2_Plasmablasts,GH2,Plasmablasts,3,162
GH2_Regulatory T cells,GH2,Regulatory T cells,11,162
GH2_Tcm/Naive cytotoxic T cells,GH2,Tcm/Naive cytotoxic T cells,13,162
GH2_Tcm/Naive helper T cells,GH2,Tcm/Naive helper T cells,9,162
GH2_Tem/Effector helper T cells,GH2,Tem/Effector helper T cells,10,162
GH2_Tem/Temra cytotoxic T cells,GH2,Tem/Temra cytotoxic T cells,12,162
GH2_Tem/Trm cytotoxic T cells,GH2,Tem/Trm cytotoxic T cells,14,162
GH2_pDC,GH2,pDC,8,162
GIPC1_Age-associated B cells,GIPC1,Age-associated B cells,2,197
GIPC1_CD16+ NK cells,GIPC1,CD16+ NK cells,18,197
GIPC1_CD16- NK cells,GIPC1,CD16- NK cells,17,197
GIPC1_Classical monocytes,GIPC1,Classical monocytes,5,197
GIPC1_DC2,GIPC1,DC2,7,197
GIPC1_MAIT cells,GIPC1,MAIT cells,15,197
GIPC1_Memory B cells,GIPC1,Memory B cells,1,197
GIPC1_NK cells,GIPC1,NK cells,16,197
GIPC1_Naive B cells,GIPC1,Naive B cells,0,197
GIPC1_Non-classical monocytes,GIPC1,Non-classical monocytes,6,197
GIPC1_Plasma cells,GIPC1,Plasma cells,4,197
GIPC1_Plasmablasts,GIPC1,Plasmablasts,3,197
GIPC1_Regulatory T cells,GIPC1,Regulatory T cells,11,197
GIPC1_Tcm/Naive cytotoxic T cells,GIPC1,Tcm/Naive cytotoxic T cells,13,197
GIPC1_Tcm/Naive helper T cells,GIPC1,Tcm/Naive helper T cells,9,197
GIPC1_Tem/Effector helper T cells,GIPC1,Tem/Effector helper T cells,10,197
GIPC1_Tem/Temra cytotoxic T cells,GIPC1,Tem/Temra cytotoxic T cells,12,197
GIPC1_Tem/Trm cytotoxic T cells,GIPC1,Tem/Trm cytotoxic T cells,14,197
GIPC1_pDC,GIPC1,pDC,8,197
GIPC3_Age-associated B cells,GIPC3,Age-associated B cells,2,199
GIPC3_CD16+ NK cells,GIPC3,CD16+ NK cells,18,199
GIPC3_CD16- NK cells,GIPC3,CD16- NK cells,17,199
GIPC3_Classical monocytes,GIPC3,Classical monocytes,5,199
GIPC3_DC2,GIPC3,DC2,7,199
GIPC3_MAIT cells,GIPC3,MAIT cells,15,199
GIPC3_Memory B cells,GIPC3,Memory B cells,1,199
GIPC3_NK cells,GIPC3,NK cells,16,199
GIPC3_Naive B cells,GIPC3,Naive B cells,0,199
GIPC3_Non-classical monocytes,GIPC3,Non-classical monocytes,6,199
GIPC3_Plasma cells,GIPC3,Plasma cells,4,199
GIPC3_Plasmablasts,GIPC3,Plasmablasts,3,199
GIPC3_Regulatory T cells,GIPC3,Regulatory T cells,11,199
GIPC3_Tcm/Naive cytotoxic T cells,GIPC3,Tcm/Naive cytotoxic T cells,13,199
GIPC3_Tcm/Naive helper T cells,GIPC3,Tcm/Naive helper T cells,9,199
GIPC3_Tem/Effector helper T cells,GIPC3,Tem/Effector helper T cells,10,199
GIPC3_Tem/Temra cytotoxic T cells,GIPC3,Tem/Temra cytotoxic T cells,12,199
GIPC3_Tem/Trm cytotoxic T cells,GIPC3,Tem/Trm cytotoxic T cells,14,199
GIPC3_pDC,GIPC3,pDC,8,199
GIT1_Age-associated B cells,GIT1,Age-associated B cells,2,119
GIT1_CD16+ NK cells,GIT1,CD16+ NK cells,18,119
GIT1_CD16- NK cells,GIT1,CD16- NK cells,17,119
GIT1_Classical monocytes,GIT1,Classical monocytes,5,119
GIT1_DC2,GIT1,DC2,7,119
GIT1_MAIT cells,GIT1,MAIT cells,15,119
GIT1_Memory B cells,GIT1,Memory B cells,1,119
GIT1_NK cells,GIT1,NK cells,16,119
GIT1_Naive B cells,GIT1,Naive B cells,0,119
GIT1_Non-classical monocytes,GIT1,Non-classical monocytes,6,119
GIT1_Plasma cells,GIT1,Plasma cells,4,119
GIT1_Plasmablasts,GIT1,Plasmablasts,3,119
GIT1_Regulatory T cells,GIT1,Regulatory T cells,11,119
GIT1_Tcm/Naive cytotoxic T cells,GIT1,Tcm/Naive cytotoxic T cells,13,119
GIT1_Tcm/Naive helper T cells,GIT1,Tcm/Naive helper T cells,9,119
GIT1_Tem/Effector helper T cells,GIT1,Tem/Effector helper T cells,10,119
GIT1_Tem/Temra cytotoxic T cells,GIT1,Tem/Temra cytotoxic T cells,12,119
GIT1_Tem/Trm cytotoxic T cells,GIT1,Tem/Trm cytotoxic T cells,14,119
GIT1_pDC,GIT1,pDC,8,119
GJA9_Age-associated B cells,GJA9,Age-associated B cells,2,201
GJA9_CD16+ NK cells,GJA9,CD16+ NK cells,18,201
GJA9_CD16- NK cells,GJA9,CD16- NK cells,17,201
GJA9_Classical monocytes,GJA9,Classical monocytes,5,201
GJA9_DC2,GJA9,DC2,7,201
GJA9_MAIT cells,GJA9,MAIT cells,15,201
GJA9_Memory B cells,GJA9,Memory B cells,1,201
GJA9_NK cells,GJA9,NK cells,16,201
GJA9_Naive B cells,GJA9,Naive B cells,0,201
GJA9_Non-classical monocytes,GJA9,Non-classical monocytes,6,201
GJA9_Plasma cells,GJA9,Plasma cells,4,201
GJA9_Plasmablasts,GJA9,Plasmablasts,3,201
GJA9_Regulatory T cells,GJA9,Regulatory T cells,11,201
GJA9_Tcm/Naive cytotoxic T cells,GJA9,Tcm/Naive cytotoxic T cells,13,201
GJA9_Tcm/Naive helper T cells,GJA9,Tcm/Naive helper T cells,9,201
GJA9_Tem/Effector helper T cells,GJA9,Tem/Effector helper T cells,10,201
GJA9_Tem/Temra cytotoxic T cells,GJA9,Tem/Temra cytotoxic T cells,12,201
GJA9_Tem/Trm cytotoxic T cells,GJA9,Tem/Trm cytotoxic T cells,14,201
GJA9_pDC,GJA9,pDC,8,201
GJB1_Age-associated B cells,GJB1,Age-associated B cells,2,120
GJB1_CD16+ NK cells,GJB1,CD16+ NK cells,18,120
GJB1_CD16- NK cells,GJB1,CD16- NK cells,17,120
GJB1_Classical monocytes,GJB1,Classical monocytes,5,120
GJB1_DC2,GJB1,DC2,7,120
GJB1_MAIT cells,GJB1,MAIT cells,15,120
GJB1_Memory B cells,GJB1,Memory B cells,1,120
GJB1_NK cells,GJB1,NK cells,16,120
GJB1_Naive B cells,GJB1,Naive B cells,0,120
GJB1_Non-classical monocytes,GJB1,Non-classical monocytes,6,120
GJB1_Plasma cells,GJB1,Plasma cells,4,120
GJB1_Plasmablasts,GJB1,Plasmablasts,3,120
GJB1_Regulatory T cells,GJB1,Regulatory T cells,11,120
GJB1_Tcm/Naive cytotoxic T cells,GJB1,Tcm/Naive cytotoxic T cells,13,120
GJB1_Tcm/Naive helper T cells,GJB1,Tcm/Naive helper T cells,9,120
GJB1_Tem/Effector helper T cells,GJB1,Tem/Effector helper T cells,10,120
GJB1_Tem/Temra cytotoxic T cells,GJB1,Tem/Temra cytotoxic T cells,12,120
GJB1_Tem/Trm cytotoxic T cells,GJB1,Tem/Trm cytotoxic T cells,14,120
GJB1_pDC,GJB1,pDC,8,120
GJB4_Age-associated B cells,GJB4,Age-associated B cells,2,79
GJB4_CD16+ NK cells,GJB4,CD16+ NK cells,18,79
GJB4_CD16- NK cells,GJB4,CD16- NK cells,17,79
GJB4_Classical monocytes,GJB4,Classical monocytes,5,79
GJB4_DC2,GJB4,DC2,7,79
GJB4_MAIT cells,GJB4,MAIT cells,15,79
GJB4_Memory B cells,GJB4,Memory B cells,1,79
GJB4_NK cells,GJB4,NK cells,16,79
GJB4_Naive B cells,GJB4,Naive B cells,0,79
GJB4_Non-classical monocytes,GJB4,Non-classical monocytes,6,79
GJB4_Plasma cells,GJB4,Plasma cells,4,79
GJB4_Plasmablasts,GJB4,Plasmablasts,3,79
GJB4_Regulatory T cells,GJB4,Regulatory T cells,11,79
GJB4_Tcm/Naive cytotoxic T cells,GJB4,Tcm/Naive cytotoxic T cells,13,79
GJB4_Tcm/Naive helper T cells,GJB4,Tcm/Naive helper T cells,9,79
GJB4_Tem/Effector helper T cells,GJB4,Tem/Effector helper T cells,10,79
GJB4_Tem/Temra cytotoxic T cells,GJB4,Tem/Temra cytotoxic T cells,12,79
GJB4_Tem/Trm cytotoxic T cells,GJB4,Tem/Trm cytotoxic T cells,14,79
GJB4_pDC,GJB4,pDC,8,79
GJB5_Age-associated B cells,GJB5,Age-associated B cells,2,146
GJB5_CD16+ NK cells,GJB5,CD16+ NK cells,18,146
GJB5_CD16- NK cells,GJB5,CD16- NK cells,17,146
GJB5_Classical monocytes,GJB5,Classical monocytes,5,146
GJB5_DC2,GJB5,DC2,7,146
GJB5_MAIT cells,GJB5,MAIT cells,15,146
GJB5_Memory B cells,GJB5,Memory B cells,1,146
GJB5_NK cells,GJB5,NK cells,16,146
GJB5_Naive B cells,GJB5,Naive B cells,0,146
GJB5_Non-classical monocytes,GJB5,Non-classical monocytes,6,146
GJB5_Plasma cells,GJB5,Plasma cells,4,146
GJB5_Plasmablasts,GJB5,Plasmablasts,3,146
GJB5_Regulatory T cells,GJB5,Regulatory T cells,11,146
GJB5_Tcm/Naive cytotoxic T cells,GJB5,Tcm/Naive cytotoxic T cells,13,146
GJB5_Tcm/Naive helper T cells,GJB5,Tcm/Naive helper T cells,9,146
GJB5_Tem/Effector helper T cells,GJB5,Tem/Effector helper T cells,10,146
GJB5_Tem/Temra cytotoxic T cells,GJB5,Tem/Temra cytotoxic T cells,12,146
GJB5_Tem/Trm cytotoxic T cells,GJB5,Tem/Trm cytotoxic T cells,14,146
GJB5_pDC,GJB5,pDC,8,146
GJD3_Age-associated B cells,GJD3,Age-associated B cells,2,202
GJD3_CD16+ NK cells,GJD3,CD16+ NK cells,18,202
GJD3_CD16- NK cells,GJD3,CD16- NK cells,17,202
GJD3_Classical monocytes,GJD3,Classical monocytes,5,202
GJD3_DC2,GJD3,DC2,7,202
GJD3_MAIT cells,GJD3,MAIT cells,15,202
GJD3_Memory B cells,GJD3,Memory B cells,1,202
GJD3_NK cells,GJD3,NK cells,16,202
GJD3_Naive B cells,GJD3,Naive B cells,0,202
GJD3_Non-classical monocytes,GJD3,Non-classical monocytes,6,202
GJD3_Plasma cells,GJD3,Plasma cells,4,202
GJD3_Plasmablasts,GJD3,Plasmablasts,3,202
GJD3_Regulatory T cells,GJD3,Regulatory T cells,11,202
GJD3_Tcm/Naive cytotoxic T cells,GJD3,Tcm/Naive cytotoxic T cells,13,202
GJD3_Tcm/Naive helper T cells,GJD3,Tcm/Naive helper T cells,9,202
GJD3_Tem/Effector helper T cells,GJD3,Tem/Effector helper T cells,10,202
GJD3_Tem/Temra cytotoxic T cells,GJD3,Tem/Temra cytotoxic T cells,12,202
GJD3_Tem/Trm cytotoxic T cells,GJD3,Tem/Trm cytotoxic T cells,14,202
GJD3_pDC,GJD3,pDC,8,202
GLIPR1L1_Age-associated B cells,GLIPR1L1,Age-associated B cells,2,17
GLIPR1L1_CD16+ NK cells,GLIPR1L1,CD16+ NK cells,18,17
GLIPR1L1_CD16- NK cells,GLIPR1L1,CD16- NK cells,17,17
GLIPR1L1_Classical monocytes,GLIPR1L1,Classical monocytes,5,17
GLIPR1L1_DC2,GLIPR1L1,DC2,7,17
GLIPR1L1_MAIT cells,GLIPR1L1,MAIT cells,15,17
GLIPR1L1_Memory B cells,GLIPR1L1,Memory B cells,1,17
GLIPR1L1_NK cells,GLIPR1L1,NK cells,16,17
GLIPR1L1_Naive B cells,GLIPR1L1,Naive B cells,0,17
GLIPR1L1_Non-classical monocytes,GLIPR1L1,Non-classical monocytes,6,17
GLIPR1L1_Plasma cells,GLIPR1L1,Plasma cells,4,17
GLIPR1L1_Plasmablasts,GLIPR1L1,Plasmablasts,3,17
GLIPR1L1_Regulatory T cells,GLIPR1L1,Regulatory T cells,11,17
GLIPR1L1_Tcm/Naive cytotoxic T cells,GLIPR1L1,Tcm/Naive cytotoxic T cells,13,17
GLIPR1L1_Tcm/Naive helper T cells,GLIPR1L1,Tcm/Naive helper T cells,9,17
GLIPR1L1_Tem/Effector helper T cells,GLIPR1L1,Tem/Effector helper T cells,10,17
GLIPR1L1_Tem/Temra cytotoxic T cells,GLIPR1L1,Tem/Temra cytotoxic T cells,12,17
GLIPR1L1_Tem/Trm cytotoxic T cells,GLIPR1L1,Tem/Trm cytotoxic T cells,14,17
GLIPR1L1_pDC,GLIPR1L1,pDC,8,17
GLRA1_Age-associated B cells,GLRA1,Age-associated B cells,2,19
GLRA1_CD16+ NK cells,GLRA1,CD16+ NK cells,18,19
GLRA1_CD16- NK cells,GLRA1,CD16- NK cells,17,19
GLRA1_Classical monocytes,GLRA1,Classical monocytes,5,19
GLRA1_DC2,GLRA1,DC2,7,19
GLRA1_MAIT cells,GLRA1,MAIT cells,15,19
GLRA1_Memory B cells,GLRA1,Memory B cells,1,19
GLRA1_NK cells,GLRA1,NK cells,16,19
GLRA1_Naive B cells,GLRA1,Naive B cells,0,19
GLRA1_Non-classical monocytes,GLRA1,Non-classical monocytes,6,19
GLRA1_Plasma cells,GLRA1,Plasma cells,4,19
GLRA1_Plasmablasts,GLRA1,Plasmablasts,3,19
GLRA1_Regulatory T cells,GLRA1,Regulatory T cells,11,19
GLRA1_Tcm/Naive cytotoxic T cells,GLRA1,Tcm/Naive cytotoxic T cells,13,19
GLRA1_Tcm/Naive helper T cells,GLRA1,Tcm/Naive helper T cells,9,19
GLRA1_Tem/Effector helper T cells,GLRA1,Tem/Effector helper T cells,10,19
GLRA1_Tem/Temra cytotoxic T cells,GLRA1,Tem/Temra cytotoxic T cells,12,19
GLRA1_Tem/Trm cytotoxic T cells,GLRA1,Tem/Trm cytotoxic T cells,14,19
GLRA1_pDC,GLRA1,pDC,8,19
GPR162_Age-associated B cells,GPR162,Age-associated B cells,2,47
GPR162_CD16+ NK cells,GPR162,CD16+ NK cells,18,47
GPR162_CD16- NK cells,GPR162,CD16- NK cells,17,47
GPR162_Classical monocytes,GPR162,Classical monocytes,5,47
GPR162_DC2,GPR162,DC2,7,47
GPR162_MAIT cells,GPR162,MAIT cells,15,47
GPR162_Memory B cells,GPR162,Memory B cells,1,47
GPR162_NK cells,GPR162,NK cells,16,47
GPR162_Naive B cells,GPR162,Naive B cells,0,47
GPR162_Non-classical monocytes,GPR162,Non-classical monocytes,6,47
GPR162_Plasma cells,GPR162,Plasma cells,4,47
GPR162_Plasmablasts,GPR162,Plasmablasts,3,47
